"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-09","0.00","0.0",,"52","65","39","   27","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-10","0.00","0.0",,"62","73","51","   28","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-11","0.00","0.0",,"61","75","48","   22","132.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-12","0.09","0.0",,"69","82","56","   27","120.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-13","2.13","0.0",,"61","71","51","   22","132.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-14","0.02","0.0",,"58","68","47","   28","140.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-15","0.00","0.0",,,,,"   31","129.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-16","0.03","0.0",,"56","66","46","   29","91.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-17","0.29","0.0",,"54","59","49","   32","123.0"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-18","0.02","0.0",,"54","61","47","    1","73.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-19","0.00","0.0",,"58","71","46","   32","140.9"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-20","0.01","0.0",,,,,"   15","71.6"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-21","1.09","0.0",,"63","73","53","   15","100.7"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-22","0.00","0.0",,"62","75","49","   17","78.3"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-23","0.00","0.0",,"66","75","56",,
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-24","0.17","0.0",,"62","69","55","   36","136.5"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-25","0.00","0.0",,"62","75","49","   16","87.2"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-26","0.00","0.0",,"67","78","55","    3","109.6"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-27","0.48","0.0",,"58","66","49","   21","165.5"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-28","0.57","0.0",,"53","58","47","   35","120.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-29","0.00","0.0",,"56","63","50","   33","111.8"
"CA003031092","CALGARY INTERNATIONAL A, AB CA","2020-06-30","1.15","0.0",,"53","56","50","   36","116.3"
