precip,temp_max,temp_min
0.0,22.0,12.0
0.0,44.0,16.0
0.0,14.0,4.0
0.0,84.0,47.0
0.02,36.0,2.0
0.02,86.0,52.0
0.0,67.0,45.0
0.0,64.0,26.0
0.0,26.0,13.0
0.0,73.0,47.0
0.09,70.0,46.0
0.0,42.0,23.0
0.0,81.0,44.0
0.0,7.0,-1.0
0.0,50.0,25.0
0.0,41.0,28.0
0.01,0.0,-12.0
0.03,45.0,32.0
0.0,54.0,20.0
0.11,50.0,39.0
0.0,85.0,54.0
0.0,72.0,27.0
0.0,71.0,50.0
0.09,72.0,51.0
0.0,26.0,9.0
0.0,43.0,18.0
0.01,59.0,44.0
0.0,42.0,32.0
0.07,40.0,26.0
0.03,19.0,-6.0
0.0,70.0,42.0
0.0,41.0,17.0
0.39,67.0,51.0
0.0,81.0,46.0
0.06,68.0,44.0
0.09,-4.0,-12.0
0.0,70.0,48.0
0.0,33.0,18.0
0.0,68.0,39.0
0.0,80.0,37.0
0.01,54.0,40.0
0.0,-1.0,-22.0
0.0,46.0,29.0
0.31,62.0,42.0
0.0,47.0,23.0
0.09,30.0,18.0
0.0,58.0,41.0
0.01,45.0,7.0
0.0,67.0,46.0
0.0,62.0,40.0
0.0,56.0,38.0
0.01,61.0,42.0
0.02,44.0,23.0
0.0,39.0,4.0
0.01,56.0,42.0
0.0,70.0,44.0
0.0,41.0,26.0
0.08,21.0,-8.0
0.0,32.0,9.0
0.0,-4.0,-15.0
0.0,23.0,14.0
0.02,60.0,42.0
0.0,20.0,6.0
0.0,69.0,47.0
0.0,33.0,12.0
0.0,46.0,18.0
0.38,69.0,48.0
0.0,62.0,36.0
0.0,68.0,42.0
0.0,-1.0,-8.0
0.0,44.0,5.0
0.01,76.0,52.0
0.0,48.0,19.0
0.03,84.0,46.0
0.1,68.0,47.0
0.0,86.0,47.0
0.0,18.0,14.0
0.0,41.0,9.0
0.06,15.0,1.0
0.0,39.0,22.0
0.0,47.0,24.0
0.0,28.0,2.0
0.0,30.0,19.0
0.0,7.0,-23.0
0.06,22.0,17.0
0.02,33.0,25.0
0.0,46.0,21.0
0.02,59.0,45.0
0.0,53.0,18.0
0.0,65.0,55.0
0.0,43.0,29.0
0.0,32.0,6.0
0.0,29.0,10.0
0.07,55.0,26.0
0.0,42.0,16.0
1.16,64.0,38.0
0.01,33.0,6.0
0.0,70.0,49.0
0.01,62.0,33.0
0.0,57.0,37.0
0.03,18.0,9.0
0.01,59.0,27.0
0.09,60.0,48.0
0.0,29.0,8.0
0.0,44.0,17.0
0.0,60.0,33.0
0.0,43.0,20.0
0.0,43.0,24.0
0.0,41.0,27.0
0.0,46.0,23.0
0.0,71.0,44.0
0.0,39.0,24.0
0.0,26.0,-9.0
0.0,59.0,34.0
0.0,47.0,29.0
0.01,18.0,13.0
0.0,18.0,2.0
0.21,64.0,39.0
0.0,53.0,31.0
0.0,45.0,23.0
0.01,39.0,17.0
0.0,49.0,31.0
0.0,83.0,51.0
0.0,48.0,42.0
0.0,4.0,-11.0
0.0,34.0,17.0
0.0,19.0,-12.0
0.0,74.0,46.0
0.0,40.0,17.0
0.0,-17.0,-25.0
0.2,52.0,33.0
0.01,76.0,52.0
0.03,74.0,52.0
0.0,59.0,39.0
0.0,43.0,23.0
0.0,70.0,52.0
0.0,79.0,50.0
0.0,-19.0,-27.0
0.01,27.0,17.0
0.0,2.0,-3.0
0.0,71.0,41.0
0.01,47.0,24.0
0.03,87.0,50.0
0.0,37.0,27.0
0.0,65.0,39.0
0.0,55.0,35.0
0.0,42.0,23.0
0.0,31.0,16.0
0.0,42.0,21.0
0.0,45.0,13.0
0.01,11.0,8.0
0.05,56.0,37.0
0.0,39.0,20.0
0.0,72.0,40.0
0.0,57.0,26.0
0.0,59.0,47.0
0.06,62.0,48.0
0.0,55.0,22.0
0.0,71.0,37.0
0.07,48.0,34.0
0.0,68.0,41.0
0.0,34.0,9.0
0.0,71.0,49.0
0.09,70.0,50.0
0.0,45.0,22.0
0.0,87.0,48.0
0.0,82.0,54.0
0.0,32.0,9.0
0.04,49.0,21.0
0.0,61.0,32.0
0.23,70.0,49.0
0.0,69.0,51.0
0.0,23.0,3.0
0.0,45.0,26.0
0.02,23.0,13.0
0.0,74.0,39.0
0.0,46.0,32.0
0.0,36.0,8.0
0.0,76.0,51.0
0.32,60.0,53.0
0.0,60.0,30.0
0.0,43.0,18.0
0.0,54.0,29.0
0.0,29.0,13.0
0.0,48.0,26.0
0.0,79.0,51.0
0.04,9.0,-1.0
0.15,13.0,-1.0
0.13,53.0,31.0
0.0,49.0,36.0
0.0,79.0,48.0
0.0,25.0,-12.0
0.0,82.0,49.0
0.01,48.0,31.0
0.04,61.0,34.0
0.16,70.0,43.0
0.08,49.0,38.0
0.0,32.0,9.0
0.11,57.0,47.0
0.0,72.0,46.0
0.0,38.0,21.0
0.54,72.0,57.0
0.0,39.0,22.0
0.0,30.0,22.0
0.0,55.0,37.0
0.0,37.0,6.0
0.01,71.0,40.0
0.0,12.0,-1.0
0.0,51.0,29.0
0.0,42.0,32.0
0.0,34.0,21.0
0.0,46.0,19.0
0.01,69.0,48.0
0.0,54.0,26.0
0.0,53.0,20.0
0.03,65.0,45.0
0.0,33.0,10.0
0.0,55.0,31.0
0.01,79.0,48.0
0.0,81.0,53.0
0.27,40.0,32.0
0.0,38.0,24.0
0.0,39.0,25.0
0.0,62.0,29.0
0.0,65.0,36.0
0.2,35.0,28.0
0.0,83.0,51.0
0.0,34.0,25.0
0.01,46.0,0.0
0.18,59.0,42.0
0.0,80.0,45.0
0.0,62.0,35.0
0.0,68.0,28.0
0.0,63.0,38.0
0.0,36.0,7.0
0.0,57.0,36.0
0.0,86.0,46.0
0.0,55.0,29.0
0.0,71.0,50.0
0.03,40.0,16.0
0.0,41.0,18.0
0.0,31.0,20.0
0.0,34.0,24.0
0.15,80.0,47.0
0.02,36.0,23.0
0.15,40.0,25.0
0.0,-1.0,-24.0
0.0,83.0,53.0
0.0,69.0,53.0
0.01,51.0,27.0
0.0,44.0,26.0
0.0,70.0,40.0
0.0,50.0,25.0
0.0,60.0,41.0
0.0,76.0,44.0
