"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-24","0.00",,,"85","59",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-25","0.00",,,"86","52",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-26","0.00",,,"75","58",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-27","0.04",,,"80","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-28","0.02",,,"69","54",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-29","0.15",,,"71","52",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-30","0.15",,,"80","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-07-31","0.00",,,"76","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-01","0.00",,,"89","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-02","0.00",,,"83","58",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-03","0.67",,,"64","46",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-04","0.60",,,"53","49",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-05","0.11",,,"54","48",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-06","0.04",,,"61","48",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-07","0.00",,,"67","42",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-08","0.00",,,"73","45",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-09","0.00",,,"76","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-10","0.00",,,"78","51",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-11","0.02",,,"68","54",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-12","0.00",,,"72","43",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-13","0.21",,,"57","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-14","0.11",,,"52","47",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-08-15","0.23",,,"57","45",,
